"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
2014000042484,2014-02-08,NA,2014-02-08,NA,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","M3",NA
20110000222589,2011-07-09,2043,2011-07-10,2205,"ROBBERY-STREET",NA,"SOUTH","S","S1","NEW HOLLY"
20080000330656,2008-09-04,530,2008-09-04,NA,"THEFT-BUILDING","THEFT-BUILDING","EAST","E","E3","FIRST HILL"
20130000442922,2013-12-10,710,2013-12-10,1905,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","SOUTHWEST","F","F3","HIGHLAND PARK"
20130000904891,2013-03-30,2000,2013-03-31,1728,"CAR PROWL","THEFT-CARPROWL","WEST",NA,"K3","CHINATOWN/INTERNATIONAL DISTRICT"
20180000168194,2018-05-11,1442,2018-05-11,1442,"ARSON","ARSON-OTHER","SOUTHWEST","W","W1","NORTH ADMIRAL"
20160000904149,2016-05-31,0,2016-06-09,1306,"CAR PROWL","THEFT-CARPROWL","WEST","D","D1","BELLTOWN"
20080000462570,2008-11-30,230,2008-12-11,2039,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-GUN","EAST","C","C2","MADISON PARK"
20130000907658,2013-12-29,2300,2013-12-31,1804,"CAR PROWL",NA,"SOUTH","R","R3","LAKEWOOD/SEWARD PARK"
20090000416529,2009-12-01,2200,2009-12-01,2226,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F",NA,"HIGH POINT"
20130000194779,2013-06-03,1900,2013-06-06,2036,"THEFT-ALL OTHER","THEFT-OTH","UNKNOWN","","","UNKNOWN"
20150000422347,2015-12-04,NA,2015-12-05,NA,"MOTOR VEHICLE THEFT","VEH-THEFT-TRUCK","SOUTHWEST","F","F1","SOUTH PARK"
20090000359107,2009-10-10,2230,2009-10-11,1500,"CAR PROWL","THEFT-CARPROWL",NA,"M",NA,"SLU/CASCADE"
20150000906391,2015-10-02,1315,2015-10-02,1843,"THEFT-ALL OTHER","THEFT-OTH","SOUTHWEST","W",NA,"MORGAN"
20120000154529,2012-05-19,1439,NA,1439,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","EAST","E",NA,NA
20140000203381,2014-06-25,1,2014-06-25,703,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","N","N1","GREENWOOD"
20130000421630,2013-11-20,2030,2013-11-21,1614,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","L","L2",NA
20130000447436,2013-12-14,1515,2013-12-18,1401,"NARCOTIC","NARC-MANUFACTURE-OTHER","WEST","K","K2","CHINATOWN/INTERNATIONAL DISTRICT"
20180000334341,2018-08-22,457,2018-09-07,1033,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","WEST","D","D3","EASTLAKE - WEST"
20150000908451,2015-12-14,1710,2015-12-15,1247,NA,"THEFT-CARPROWL","SOUTH","R","R2","NORTH BEACON HILL"
20100000357215,2010-10-12,1519,2010-10-12,1519,"SEX OFFENSE-OTHER","SEXOFF-INDECENT EXPOSURE","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20120000208490,NA,2318,2012-07-01,2318,"THEFT-ALL OTHER","THEFT-OTH","NORTH","B","B2","PHINNEY RIDGE"
NA,2018-07-01,300,2018-07-01,326,NA,"SEXOFF-INDECENT LIBERTIES","EAST","E",NA,"CAPITOL HILL"
20090000129883,2009-04-17,1711,2009-04-17,1742,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-BODYFORCE","SOUTHWEST","W","W3","HIGH POINT"
20160000902160,2016-03-22,1315,2016-03-22,1700,"CAR PROWL","THEFT-CARPROWL",NA,"F","F2",NA
20140000393067,2014-11-24,1207,2014-11-24,1207,"THEFT-BUILDING","THEFT-BUILDING","WEST","K",NA,"DOWNTOWN COMMERCIAL"
20160000465774,2016-12-29,415,2016-12-29,1343,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","SOUTHWEST","W","W2","NORTH ADMIRAL"
20140000256400,2014-08-02,200,2014-08-04,918,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","NORTH",NA,NA,"WALLINGFORD"
20130000103347,2013-03-21,800,2013-03-27,2154,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","SOUTH","O","O3","GEORGETOWN"
NA,2015-07-11,1535,2015-07-12,8,"PROSTITUTION","PROSTITUTION","NORTH","N","N3","NORTHGATE"
201100003150,NA,1830,2011-01-03,1736,"CAR PROWL","THEFT-AUTOACC","NORTH","U","U3","SANDPOINT"
NA,2009-02-03,50,2009-02-03,58,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-BODYFORCE","EAST","G","G2","CENTRAL AREA/SQUIRE PARK"
20080000165105,2008-05-07,1900,2008-05-08,1257,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","WEST","Q","Q3","QUEEN ANNE"
20170000180195,2017-05-22,515,2017-05-22,745,"CAR PROWL","THEFT-CARPROWL","WEST","D","D1","BELLTOWN"
20150000167971,NA,1800,2015-05-22,630,"CAR PROWL","THEFT-CARPROWL","WEST","D","D2","QUEEN ANNE"
20170000393758,2017-10-23,1515,2017-10-23,1515,"THEFT-ALL OTHER","THEFT-OTH","WEST","K","K1","DOWNTOWN COMMERCIAL"
2013000018564,2013-01-16,2056,2013-01-16,2058,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","R3","COLUMBIA CITY"
20100000440332,2010-12-23,929,2010-12-23,929,NA,"THEFT-BUILDING","WEST","Q","Q2","QUEEN ANNE"
20130000420810,2013-11-21,59,2013-11-21,59,"BURGLARY-RESIDENTIAL",NA,"NORTH","U","U1","UNIVERSITY"
20090000436520,2009-12-19,1930,NA,209,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO",NA,"B","B2","BALLARD SOUTH"
20110000905115,2011-12-10,1030,2011-12-10,1357,NA,"THEFT-OTH","SOUTHWEST","W","W1","NORTH ADMIRAL"
20110000333066,2011-10-10,1500,2011-10-10,2203,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F",NA,"HIGH POINT"
20100000243988,2010-07-16,48,2010-07-16,48,"NARCOTIC","NARC-POSSESS-MARIJU","NORTH","J","J1","GREENWOOD"
20100000205393,2010-06-10,1300,2010-06-17,1910,"THEFT-ALL OTHER","THEFT-OTH","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
2018000063256,2018-02-19,1900,2018-02-20,1027,"CAR PROWL","THEFT-CARPROWL","NORTH","B","B3","WALLINGFORD"
20180000906182,2018-07-08,1600,2018-07-09,806,NA,"THEFT-BICYCLE","NORTH","U","U3","UNIVERSITY"
20180000194704,2018-05-27,1200,2018-05-30,NA,"CAR PROWL","THEFT-CARPROWL","WEST","M","M2","SLU/CASCADE"
2013000078126,2013-03-07,0,2013-03-07,1534,"CAR PROWL","THEFT-LICENSE PLATE","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
NA,2010-10-09,1200,2010-10-09,1940,"CAR PROWL","THEFT-CARPROWL","WEST","K","K2","PIONEER SQUARE"
20170000149698,2017-04-28,NA,2017-04-29,NA,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","EAST","C","C1","MONTLAKE/PORTAGE BAY"
20170000234365,2017-06-29,121,2017-06-29,923,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","EAST","E","E2","CAPITOL HILL"
20140000110360,2014-04-08,1200,2014-04-11,842,"THEFT-BUILDING","THEFT-BUILDING","WEST","D","D2","QUEEN ANNE"
20120000307330,2012-09-11,1200,2012-09-11,1929,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","N","N1",NA
20090000285345,2009-08-13,1530,2009-08-13,1909,"CAR PROWL","THEFT-CARPROWL","WEST","K","K2","DOWNTOWN COMMERCIAL"
20170000904150,2017-05-09,1025,2017-05-09,1039,"CAR PROWL","THEFT-CARPROWL","SOUTH","O","O3","GEORGETOWN"
20160000900322,2016-01-14,245,2016-01-14,1454,"CAR PROWL","THEFT-CARPROWL",NA,"U","U2","UNIVERSITY"
20130000156078,2013-05-09,NA,2013-05-09,NA,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","N","N1","BITTERLAKE"
20140000145334,2014-05-10,2335,2014-05-10,2335,"DUI","DUI-LIQUOR","EAST","C","C3","MADISON PARK"
20090000239722,2009-07-10,1007,2009-07-10,1400,NA,"CHILD-NEGLECT","SOUTH","R","R3","COLUMBIA CITY"
20100000334440,2010-09-24,200,2010-09-24,1228,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","N","N2","NORTHGATE"
20130000420675,2013-11-20,900,2013-11-20,2129,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","L","L2","NORTHGATE"
2010000051768,2010-02-14,1200,2010-02-14,2014,"THEFT-ALL OTHER","THEFT-OTH","WEST","M","M2","DOWNTOWN COMMERCIAL"
20120000414419,2012-12-04,1816,2012-12-04,1917,"AGGRAVATED ASSAULT","ASSLT-AGG-GUN","EAST","G",NA,"MADRONA/LESCHI"
2014000032890,2014-01-30,1443,2014-01-30,1443,NA,"THEFT-BUILDING","WEST","K","K1","DOWNTOWN COMMERCIAL"
20080000465842,2008-12-13,2100,2008-12-14,1255,"CAR PROWL",NA,NA,"C","C3","CENTRAL AREA/SQUIRE PARK"
20100000278397,2010-08-09,2300,2010-08-10,1813,"CAR PROWL","THEFT-CARPROWL","NORTH","N",NA,"NORTHGATE"
20110000410239,2011-12-24,23,2011-12-24,23,"CAR PROWL","THEFT-CARPROWL","EAST",NA,"C1","CAPITOL HILL"
2010000046530,NA,2331,2010-02-09,2331,"DUI","DUI-LIQUOR","WEST","D","D1","BELLTOWN"
20090000300385,2009-08-25,1320,2009-08-25,1603,"NARCOTIC","NARC-FORGERY-PRESCRIPTION","NORTH","L","L2","NORTHGATE"
NA,2013-08-14,1634,2013-08-14,1732,NA,"THEFT-SHOPLIFT","WEST","Q","Q1","MAGNOLIA"
20120000246026,2012-07-27,1600,2012-07-28,2014,"CAR PROWL","THEFT-CARPROWL","EAST","G","G3","JUDKINS PARK/NORTH BEACON HILL"
