"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20150000905155,2015-08-07,1900,2015-08-12,1120,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","W","W1","NORTH ADMIRAL"
2018000071957,2018-02-27,800,2018-02-27,1150,"THEFT-ALL OTHER","THEFT-OTH","WEST","K","K2","PIONEER SQUARE"
20170000350737,2017-09-20,NA,2017-09-20,1540,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","J","J3","ROOSEVELT/RAVENNA"
20170000907635,2017-08-23,315,2017-08-24,1529,"CAR PROWL",NA,"NORTH","N","N1","GREENWOOD"
20130000376238,2013-09-20,1700,2013-10-16,1536,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","J","J1","GREENWOOD"
20090000109577,2009-04-01,NA,2009-04-01,939,"CAR PROWL","THEFT-CARPROWL","NORTH","N","N2","NORTHGATE"
20160000146532,2016-04-27,2200,2016-04-28,NA,"CAR PROWL","THEFT-CARPROWL",NA,"Q","Q3","QUEEN ANNE"
2011000095583,2011-03-24,1831,2011-03-24,1951,"THEFT-ALL OTHER","THEFT-OTH","SOUTHWEST","F","F1","SOUTH PARK"
20130000221715,2013-06-25,1449,2013-06-25,1627,NA,"THEFT-CARPROWL","WEST","Q","Q3","QUEEN ANNE"
20180000217009,2018-06-14,630,2018-06-15,754,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","L","L2","NORTHGATE"
NA,2018-01-18,1038,2018-01-18,1038,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","K1",NA
2012000018121,2012-01-19,2015,NA,2024,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON","SOUTHWEST","F","F3","SOUTH PARK"
20130000902100,2013-02-25,930,2013-02-27,1740,"CAR PROWL","THEFT-CARPROWL","WEST","D","D3","SLU/CASCADE"
20170000904734,2017-05-24,0,2017-05-28,1234,"THEFT-BICYCLE","THEFT-BICYCLE","NORTH","L","L2",NA
