row,room_id,host_id,room_type,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,latitude,longitude,name
0,2318,2536,Entire home/apt,Seattle,21,5,8,4,2.5,250,47.610819,-122.290816,"Casa Madrona - Urban Oasis, 1 block from the Park!"
1,3335,4193,Entire home/apt,Seattle,1,,4,2,1,100,47.529846,-122.27584,Sweet Seattle Urban Homestead 2 Bdr
2,4291,35749,Private room,Seattle,63,4.5,2,1,1,82,47.687801,-122.313427,Sunrise in Seattle Master Suite
3,5682,8993,Entire home/apt,Seattle,462,5,2,0,1,49,47.52398,-122.359891,"Cozy Studio, min. to downtown -WiFi"
4,6606,14942,Entire home/apt,Seattle,134,4.5,2,1,1,90,47.654109,-122.337605,"Fab, private seattle urban cottage!"
5,9419,30559,Private room,Seattle,130,4.5,2,1,3,65,47.550167,-122.319366,Glorious sun room w/ memory foambed
6,9460,30832,Private room,Seattle,401,5,2,1,1,78,47.60801,-122.328739,Downtown/Convention Ctr B&B - Nice!
7,9531,31481,Entire home/apt,Seattle,35,5,4,2,1,165,47.555389,-122.384739,The Adorable Sweet Orange Craftsman
8,9534,31481,Entire home/apt,Seattle,36,5,3,2,1,95,47.556236,-122.385981,The Coolest Tangerine Dream MIL!
9,9596,14942,Entire home/apt,Seattle,76,4.5,4,1,1,115,47.654787,-122.33652,"the down home , spacious, central and fab!"
10,9909,33360,Entire home/apt,Seattle,57,5,4,2,1,135,47.56612,-122.372726,Luna Park Lower - West Seattle
11,10209,31553,Private room,Seattle,36,4.5,1,0,1.5,50,47.553646,-122.363257,Stay here for a blast!!!!  Holiday sale
12,10385,35749,Private room,Seattle,94,4.5,2,1,,41,47.695719,-122.311944,Upscale Seattle Hotel Alternative
13,10695,35749,Private room,Seattle,20,5,4,1,1,109,47.697201,-122.313481,Private 2 Rooms & 1 Bath
14,11012,14942,Entire home/apt,Seattle,80,5,8,3,2,250,47.654477,-122.336464,"the orange house, quiet 'n central"
15,14386,39377,Private room,Seattle,125,4.5,2,1,1.5,37,47.687246,-122.334696,Quiet Cozy Upstairs BR Green Lake
16,15108,39377,Private room,Seattle,70,4.5,6,3,1.5,50,47.688266,-122.335856,Green Lake Private Ground Floor BR
17,15749,61636,Private room,Seattle,17,4.5,1,1,1,100,47.684072,-122.326488,Green Lake guest room with active family
18,17951,33360,Entire home/apt,Seattle,89,5,2,0,1,72,47.55484,-122.385124,"West Seattle, The Starlight Studio"
19,18042,69549,Entire home/apt,Kirkland,78,4.5,2,1,1,60,47.685397,-122.180699,Lake Forbes Cottage
20,19619,74305,Entire home/apt,Seattle,76,5,4,1,1,140,47.614471,-122.348145,Lively Vacation Home in Seattle with Puget Sound Views
21,20868,35749,Entire home/apt,Seattle,119,4.5,6,2,1,99,47.695386,-122.313075,"Newly Remodeled ""Boho Modern"" in Mapleleaf"
22,20927,79450,Entire home/apt,Seattle,489,5,2,1,1,59,47.673339,-122.39512,Cottage in the Heart of Ballard
23,20928,79450,Private room,Seattle,272,5,2,1,1,45,47.673607,-122.393803,Victorian in the Heart of Ballard
24,23192,90437,Entire home/apt,Seattle,98,5,5,1,1,77,47.622366,-122.315918,Large Modern Unit - 3 blocks from the light-rail
25,23356,91286,Entire home/apt,Seattle,19,4,10,3,2,180,47.534188,-122.281393,3bd 2bt great bargain  sleep 8-10
26,23403,91519,Private room,Bellevue,17,5,2,1,1,75,47.611366,-122.119342,"Fully furnished room ""A"""
28,24212,74305,Entire home/apt,Seattle,79,4.5,6,2,1,162,47.614471,-122.348145,SALE 12/27★PERFECT Getaway w/ Views★
29,25002,102684,Entire home/apt,Seattle,687,5,4,1,1,70,47.679412,-122.37054,"Beautiful, Private Spot in Quiet Ballard"
30,26116,110248,Entire home/apt,Seattle,143,5,4,2,1,269,47.618298,-122.325562,2-bedroom Capitol Hill Pied-à-terre
31,26795,114228,Entire home/apt,Seattle,59,4.5,5,2,1,165,47.639526,-122.328379,Lake Union Cottage - Shore and Cityview
32,30712,107605,Entire home/apt,Seattle,85,4,3,1,1,75,47.678901,-122.381863,Cozy Ballard Apartment
33,37234,160789,Entire home/apt,Seattle,3,4,2,1,1,85,47.688048,-122.39231,Your Home Away From Home.  Private Parking onsite.
34,38338,164430,Entire home/apt,Kirkland,55,5,2,1,1,125,47.687503,-122.200172,Quiet MIL in downtown Kirkland
35,38545,165390,Entire home/apt,Seattle,93,5,8,3,2.5,295,47.65324,-122.341553,"en-suite, fireplace,chef kitchen. no car needed!"
37,41401,180441,Entire home/apt,Seattle,28,5,4,1,1,95,47.560349,-122.314023,Home Away From Home - MIL Suite
38,43373,189356,Private room,Seattle,228,4.5,2,1,1,44,47.650552,-122.330589,Big sunny central house with view!
39,47491,215230,Private room,Seattle,43,4.5,1,1,1,60,47.692465,-122.286884,Tranquil Rooms at Maple Creek House
40,48848,212404,Entire home/apt,Seattle,39,5,2,1,1,110,47.671587,-122.259947,green suite seattle - dog friendly
41,51748,91519,Private room,Bellevue,6,4.5,1,1,1,75,47.609575,-122.120515,"Fully Furnished Room ""B"""
42,52525,215230,Private room,Seattle,29,4.5,1,1,1,40,47.692701,-122.285479,Maple Creek House in Wedgwood
43,58503,157262,Entire home/apt,Seattle,217,4.5,4,2,1,62,47.679467,-122.3566,Spacious Private Daylight Basement Apartment
44,63733,311363,Entire home/apt,Seattle,213,5,2,1,1,79,47.671714,-122.365888,Seattle- Ballard Guestsuite -
45,66540,215230,Private room,Seattle,25,5,1,1,1,50,47.694208,-122.286249,Large Tranquil Room in Wedgwood
46,66611,215230,Private room,Seattle,24,4.5,1,1,1,40,47.692815,-122.285336,Study Den in Tranquil Setting
47,67270,331573,Private room,Seattle,178,5,2,1,1,70,47.561681,-122.272123,"Light and airy, steps to the Lake."
48,69004,75946,Private room,Redmond,5,4.5,2,1,1,100,47.661317,-122.130755,Master BDR private Bath & SPA
49,76565,232785,Private room,Seattle,10,5,2,1,1,55,47.547002,-122.354441,Quiet Room in West Seattle
50,78963,75946,Private room,Redmond,7,4.5,1,1,1.5,30,47.662076,-122.132483,★★★★★★MS Redmond RM6
51,78965,75946,Private room,Redmond,14,5,1,1,1.5,33,47.6624,-122.131469,★★★Microsoft Redmond RM3
52,78969,75946,Private room,Redmond,7,4,1,1,1.5,33,47.660809,-122.131052,★★★★★ Microsoft Redmond RM5
53,78975,75946,Private room,Redmond,4,5,1,1,2,35,47.660885,-122.132493,★★★★★★★★Microsoft Redmond RM8
54,78980,75946,Private room,Redmond,10,4.5,1,1,1.5,33,47.661039,-122.132152,★★Microsoft Redmond RM2
55,79321,427101,Private room,Bellevue,76,5,2,1,1,55,47.616533,-122.135776,"Bellevue, WA room w/ toilet & bath"
56,86185,192355,Private room,Seattle,63,4.5,2,1,1,65,47.582392,-122.394478,West Seattle: Admiral calm & quiet
57,103908,541406,Entire home/apt,Seattle,17,4.5,4,1,1,200,47.684273,-122.326616,Green Lake Gem - Walk to Lake
58,103920,541406,Entire home/apt,Seattle,19,4.5,6,2,1,200,47.684157,-122.325972,Green Lake Spacious Two Bedrooms - Walk to Lake!
59,107884,331494,Entire home/apt,Seattle,114,5,3,1,1,75,47.579996,-122.402045,West Seattle/Alki Beach House
60,107962,112093,Entire home/apt,Seattle,219,5,2,1,1,120,47.714885,-122.332964,Haller Lake Restored Log Cabin
61,108765,541908,Entire home/apt,Seattle,57,5,2,1,1,115,47.552566,-122.30435,Beacon Hill Cottage in the City
62,116221,587302,Entire home/apt,Seattle,38,5,2,1,1,135,47.654371,-122.357454,"Modern, Light-Filled Fremont Flat"
63,117165,559827,Private room,Seattle,126,5,2,1,1,100,47.568739,-122.406488,Suite+Office in Gorgeous View Home
64,119103,601600,Entire home/apt,Seattle,350,5,3,1,1,79,47.652309,-122.350005,Teeny Tiny Guestyhouse!
65,132120,378445,Entire home/apt,Seattle,88,5,4,1,1,64,47.669228,-122.335174,Mother-in-Law Apartment in Seattle
66,132160,558743,Entire home/apt,Seattle,244,5,6,2,1,90,47.682261,-122.34345,"Green Lake Guest Suite, private apt"
67,134091,658155,Entire home/apt,Seattle,152,5,4,1,1,90,47.62254,-122.317085,Vintage Capitol Hill - 1 Pkg Spot
68,136480,539515,Private room,Seattle,56,5,2,1,1,85,47.555084,-122.264553,Bright Cheery Room in Seattle House
69,140331,683617,Private room,Seattle,140,5,2,1,1,75,47.618939,-122.292123,Metrobilly Retreat
70,143580,594315,Private room,Seattle,347,4.5,2,1,,82,47.583787,-122.31677,N. Beacon Hill- Super Private Room
71,143704,696788,Entire home/apt,Seattle,338,5,3,1,1,55,47.612313,-122.298252,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity"
72,151545,306615,Entire home/apt,Seattle,13,5,5,2,1.5,125,47.650623,-122.320076,Seattle 3 Bed Charmer w/Holiday Ships on the Bay!
74,158345,759949,Private room,Seattle,412,5,2,1,1,55,47.669921,-122.401464,Restful Room in W. Ballard-NO cleaning fee!
75,162563,776719,Private room,Seattle,9,5,1,1,1,120,47.612942,-122.312636,Quiet Clean and safe neighborhood
76,170273,804996,Entire home/apt,Seattle,201,5,7,3,2.5,179,47.627674,-122.358611,Stroll to Stunning Views from a Historic Home
77,170469,756099,Private room,Seattle,84,5,2,1,1,70,47.678299,-122.374931,Private Bed & Bath in Ballard
78,173896,830508,Private room,Seattle,274,5,2,1,1,50,47.672345,-122.39892,Cozy in Ballard: Detached Bedroom en Suite
79,174636,834328,Private room,Seattle,36,5,3,1,1,85,47.511457,-122.256081,"2 Rooms available, view of the lake"
80,175576,239585,Entire home/apt,Seattle,279,5,2,1,1,85,47.635482,-122.358478,Private Apartment - Queen Anne Hill
82,189156,179030,Entire home/apt,Seattle,254,5,2,0,1,59,47.545431,-122.397837,Sweet Studio -Water & Mountain view
83,189219,912871,Private room,Redmond,111,4.5,2,1,1,85,47.693384,-122.130263,Private home near Microsoft/Redmond
84,190984,923095,Entire home/apt,Seattle,152,4.5,2,1,1,72,47.552842,-122.277894,Home in Hillman City - large studio & free parking
85,191795,928106,Entire home/apt,Kirkland,2,,12,4,2.5,250,47.722114,-122.222447,"*Fully Stocked, Spacious 4BR Home*"
86,193836,583579,Entire home/apt,Seattle,164,4.5,5,1,1,89,47.535701,-122.386312,Spacious Suite Near Lincoln Park in West Seattle
87,201550,986136,Entire home/apt,Redmond,139,5,2,1,1,105,47.676552,-122.137596,Modern apartment w. access to gym
88,202251,601266,Entire home/apt,Seattle,22,4.5,6,3,1,225,47.677705,-122.359839,Seattle Phinney Ridge Ballard
89,210316,2438665,Private room,Seattle,67,5,2,1,4,54,47.699898,-122.366142,"""THE 5-STAR HOUSE"""
90,215882,971336,Entire home/apt,Seattle,338,5,2,1,1,84,47.561297,-122.281219,Relaxing Garden Cottage w/ Hot Tub!
