cad_cdw_id,cad_event_number,general_offense_number,event_clearance_code,event_clearance_description,event_clearance_subgroup,event_clearance_group,event_clearance_date,hundred_block_location,district_sector,zone_beat,census_tract,longitude,latitude,incident_location,initial_type_description,initial_type_subgroup,initial_type_group,at_scene_time
2215250,14000401379,2014401379,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/03/2014 09:11:00 AM,4XX BLOCK OF SUMMIT AV E,E,E1,7400.6000,-122.325308913,47.62256185,"(47.62256185, -122.325308913)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
1978933,17000134490,2017134490,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/17/2017 07:46:16 PM,7 AV S / S KING ST,K,K3,9100.101,-122.32376,47.598347,"(47.598347, -122.32376)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/17/2017 06:46:20 PM
1506297,15000268887,2015268887,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/04/2015 02:28:00 PM,WESTLAKE AV N / THOMAS ST,D,D2,7200.1044,-122.33846753,47.620872118,"(47.620872118, -122.33846753)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,NA
63660,10000315966,2010315966,064,SHOPLIFT,THEFT,SHOPLIFTING,09/09/2010 02:34:00 PM,22XX BLOCK OF WESTLAKE AVE,D,D2,7300.3020,-122.338437561,47.618242902,"(47.618242902, -122.338437561)",NA,NA,NA,NA
763359,12000093086,201293086,064,SHOPLIFT,THEFT,SHOPLIFTING,03/27/2012 05:29:00 PM,14XX BLOCK OF 3RD AVE,K,K1,8100.2009,-122.337338756,47.60925298,"(47.60925298, -122.337338756)",NA,NA,NA,NA
89353,10000353531,2010353531,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,10/09/2010 02:40:00 PM,44XX BLOCK OF SW RAYMOND ST,W,W2,10600.6008,-122.389274191,47.548520269,"(47.548520269, -122.389274191)",NA,NA,NA,NA
1077798,15000138174,2015138174,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,04/28/2015 12:23:00 AM,14 AV S / S BAYVIEW ST,R,R1,10002.2025,-122.314714413,47.581018983,"(47.581018983, -122.314714413)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,NA
1644093,16000004134,20164134,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,01/04/2016 11:53:28 PM,11XX BLOCK OF 1 AV,K,K1,8100.1025,-122.33722,47.605766,"(47.605766, -122.33722)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,01/04/2016 08:42:20 PM
64014,10000316437,2010316437,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,09/09/2010 07:03:00 PM,7XX BLOCK OF NW MARKET ST,B,B3,3400.2005,-122.365638087,47.668652788,"(47.668652788, -122.365638087)",NA,NA,NA,NA
1023096,15000060062,201560062,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,02/22/2015 03:48:00 AM,1XX BLOCK OF ETRURIA ST,Q,Q2,6000.4018,-122.353909707,47.647770607,"(47.647770607, -122.353909707)",BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURGLARY,RESIDENTIAL BURGLARIES,02/21/2015 11:38:00 PM
1990506,17000155579,2017155579,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,05/04/2017 03:16:37 PM,86XX BLOCK OF 30 AV SW,F,F2,11401.2009,-122.371254,47.52557,"(47.52557, -122.371254)",TRESPASS,TRESPASS,TRESPASS,05/04/2017 12:14:15 PM
850387,12000225800,2012225800,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,07/14/2012 11:03:00 AM,52XX BLOCK OF 16TH AVE NE,U,U3,4400.3004,-122.310762131,47.66747923,"(47.66747923, -122.310762131)",NA,NA,NA,NA
791440,12000136018,2012136018,200,ALARMS - COMMERCIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,05/03/2012 10:59:00 PM,3XX BLOCK OF NE THORNTON PL,N,N3,1900.4000,-122.324629835,47.702310479,"(47.702310479, -122.324629835)",NA,NA,NA,NA
739303,12000055845,201255845,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,02/24/2012 04:38:00 AM,4 AV / LENORA ST,M,M2,7200.2025,-122.34133356,47.61383107,"(47.61383107, -122.34133356)",NA,NA,NA,NA
846984,12000220915,2012220915,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,07/10/2012 11:44:00 PM,90XX BLOCK OF 20TH AVE NE,U,U1,2000.1006,-122.306831005,47.694395097,"(47.694395097, -122.306831005)",NA,NA,NA,NA
2094484,17000344584,2017344584,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,09/15/2017 10:35:02 PM,19XX BLOCK OF 2 AV,M,M1,8002.1002,-122.3411,47.611347,"(47.611347, -122.3411)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,NA
1235382,12000445506,2012445506,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,12/31/2012 05:37:00 PM,NE 82 ST / LAKE CITY WY NE,U,U1,2600.1003,-122.310761738,47.688501681,"(47.688501681, -122.310761738)","ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,12/31/2012 04:22:00 PM
2181965,14000350860,2014350860,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/20/2014 04:53:00 AM,28XX BLOCK OF ELLIOTT AV,M,M1,8001.3013,-122.353746453,47.615306352,"(47.615306352, -122.353746453)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,NA
1791806,16000262744,2016262744,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,07/22/2016 07:22:13 PM,LAKE CITY WY NE / NE 117 ST,L,L3,700.2004,-122.29823,47.71421,"(47.71421, -122.29823)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,07/22/2016 06:02:02 PM
393286,11000231953,2011231953,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/17/2011 10:00:00 PM,S MC CLELLAN ST / M L KING JR WY S,R,R1,9500.5004,-122.296188244,47.578346808,"(47.578346808, -122.296188244)",NA,NA,NA,NA
902051,12000312516,2012312516,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,09/15/2012 01:44:00 PM,24XX BLOCK OF 4TH AVE S,O,O2,9300.3026,-122.329055962,47.580851337,"(47.580851337, -122.329055962)",NA,NA,NA,NA
896448,12000303337,2012303337,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,09/08/2012 11:31:00 PM,NE RAVENNA BV / BROOKLYN AV NE,U,U1,4400.1021,-122.314174245,47.67145156,"(47.67145156, -122.314174245)",NA,NA,NA,NA
1546649,15000317730,2015317730,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,09/10/2015 09:24:00 PM,37XX BLOCK OF WALNUT AV SW,W,W2,9800.3007,-122.383580329,47.570708251,"(47.570708251, -122.383580329)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,09/10/2015 05:45:00 PM
849092,12000223676,2012223676,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,07/12/2012 08:43:00 PM,15XX BLOCK OF W DRAVUS ST,Q,Q1,5802.2001,-122.390560914,47.648585196,"(47.648585196, -122.390560914)",NA,NA,NA,NA
2225530,14000415871,2014415871,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/16/2014 03:28:00 PM,56XX BLOCK OF NE 59 ST,L,L3,4100.2008,-122.267614419,47.671654753,"(47.671654753, -122.267614419)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
952330,12000378961,2012378961,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,11/04/2012 04:52:00 PM,8XX BLOCK OF OCCIDENTAL AVE S,K,K3,9300.2002,-122.333268216,47.596783427,"(47.596783427, -122.333268216)",NA,NA,NA,NA
1951261,17000082517,201782517,202,ALACAD - COMMERCIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,03/08/2017 07:24:27 AM,39XX BLOCK OF 6 AV S,O,O2,9300.3175,-122.32677,47.56848,"(47.56848, -122.32677)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,NA
1836609,16000339390,2016339390,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,09/19/2016 12:24:27 AM,BALLARD AV NW / NW IONE PL,B,B1,4700.4014,-122.38166,47.665104,"(47.665104, -122.38166)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,NA
1917357,17000017878,201717878,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,01/15/2017 10:29:00 AM,7XX BLOCK OF PINE ST,M,M2,8200.1006,-122.33371,47.61283,"(47.61283, -122.33371)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,NA
908777,12000322413,2012322413,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,09/22/2012 03:14:00 PM,S JACKSON ST / 3 AV S,K,K3,9200.2019,-122.330276026,47.59919764,"(47.59919764, -122.330276026)",NA,NA,NA,NA
1893741,16000441988,2016441988,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,12/09/2016 12:49:43 AM,75XX BLOCK OF 24 AV NW,J,J2,3100.3003,-122.38757,47.68408,"(47.68408, -122.38757)","NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",DISTURBANCES,NOISE DISTURBANCE,12/08/2016 11:53:10 PM
2185099,14000355348,2014355348,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,10/23/2014 07:33:00 PM,4XX BLOCK OF 16 AV E,C,C2,7600.3002,-122.311348763,47.622669215,"(47.622669215, -122.311348763)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
2151833,14000308168,2014308168,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,09/14/2014 11:26:00 PM,HARVARD AV / E PINE ST,E,E2,8400.1001,-122.322132012,47.615224581,"(47.615224581, -122.322132012)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,09/14/2014 09:34:00 PM
1131849,15000215915,2015215915,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/26/2015 02:14:00 PM,1XX BLOCK OF S WASHINGTON ST,K,K2,9200.2023,-122.333529119,47.600882391,"(47.600882391, -122.333529119)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,06/26/2015 12:38:00 PM
1933949,17000048603,201748603,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",02/09/2017 01:53:17 PM,2XX BLOCK OF PIKE ST,M,M3,8100.2004,-122.33835,47.609516,"(47.609516, -122.33835)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,NA
1726601,16000149809,2016149809,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,04/30/2016 10:57:21 PM,72XX BLOCK OF E GREEN LAKE DR N,J,J3,4600.1000,-122.325966,47.680508,"(47.680508, -122.325966)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,NA
2070666,17000301671,2017301671,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,08/15/2017 02:17:43 PM,19XX BLOCK OF 12 AV S,R,R1,9400.4005,-122.31728,47.58596,"(47.58596, -122.31728)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
1967218,17000112691,2017112691,064,SHOPLIFT,THEFT,SHOPLIFTING,03/31/2017 03:41:45 PM,14XX BLOCK OF 3 AV,M,M3,8100.2015,-122.33734,47.609253,"(47.609253, -122.33734)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,NA
2183047,14000352361,2014352361,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,10/21/2014 11:32:00 AM,50XX BLOCK OF 12 AV NE,U,U3,4400.4006,-122.315228621,47.665681327,"(47.665681327, -122.315228621)",TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,NA
1811497,16000297002,2016297002,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/17/2016 03:05:21 AM,BOREN AV / STEWART ST,D,D2,7300.2021,-122.33272,47.616943,"(47.616943, -122.33272)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,08/16/2016 10:56:29 PM
1729404,16000154957,2016154957,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,05/04/2016 04:16:21 PM,88XX BLOCK OF RENTON AV S,S,S2,11800.4002,-122.27651,47.52378,"(47.52378, -122.27651)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
1870396,16000399751,2016399751,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,11/04/2016 04:11:16 PM,5 AV S / S KING ST,K,K3,9100.2003,-122.327675,47.598354,"(47.598354, -122.327675)","PANHANDLING, AGGRESSIVE",DISTURBANCES,DISTURBANCES,NA
1078280,15000139025,2015139025,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,04/28/2015 04:59:00 PM,118XX BLOCK OF 32 AV NE,L,L3,700.2018,-122.294083366,47.714850666,"(47.714850666, -122.294083366)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,NA
1535959,15000304927,2015304927,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,08/31/2015 02:41:00 PM,6XX BLOCK OF N 50 ST,B,B2,3500.3000,-122.350732312,47.665028291,"(47.665028291, -122.350732312)",TRU - THEFT,OTHER PROPERTY,THEFT,NA
1274828,11000005505,20115505,031,STRONG ARM ROBBERY,ROBBERY,ROBBERY,01/05/2011 04:52:00 PM,1XX BLOCK OF 23RD AVE,G,G1,8700.2013,-122.302433435,47.602157594,"(47.602157594, -122.302433435)",NA,NA,NA,NA
1881121,16000418656,2016418656,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,11/19/2016 05:44:20 PM,17XX BLOCK OF HARBOR AV SW,W,W1,9600.1000,-122.37982,47.588295,"(47.588295, -122.37982)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,11/19/2016 04:51:12 PM
2189983,14000369455,2014369455,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,11/04/2014 01:49:00 PM,17 AV NE / NE 47 ST,U,U3,5301.1003,-122.309502891,47.663061375,"(47.663061375, -122.309502891)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
2177671,14000343815,2014343815,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,10/14/2014 11:21:00 AM,92XX BLOCK OF AURORA AV N,N,N2,1800.3006,-122.344586493,47.69599675,"(47.69599675, -122.344586493)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,10/14/2014 10:40:00 AM
1914645,17000012580,201712580,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,01/11/2017 02:22:10 AM,NE 44 ST / 4 AV NE,B,B3,5200.4017,-122.32405,47.660202,"(47.660202, -122.32405)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/11/2017 01:37:58 AM
1710177,16000118169,2016118169,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,04/06/2016 07:30:33 PM,4 AV S / S MAIN ST,K,K3,9200.2033,-122.328964,47.600037,"(47.600037, -122.328964)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,04/06/2016 11:42:59 AM
1790782,16000260933,2016260933,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,07/21/2016 02:58:51 PM,53XX BLOCK OF 28 AV NW,B,B1,3200.3020,-122.39284,47.66765,"(47.66765, -122.39284)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,07/21/2016 12:52:28 PM
402431,11000244901,2011244901,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/28/2011 09:31:00 AM,65XX BLOCK OF 15TH AVE NW,B,B3,3300.6011,-122.376761124,47.676821841,"(47.676821841, -122.376761124)",NA,NA,NA,NA
1832874,16000333975,2016333975,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,09/14/2016 06:16:19 PM,44XX BLOCK OF DELRIDGE WY SW,F,F1,9900.2019,-122.36363,47.56341,"(47.56341, -122.36363)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,NA
1898402,16000450701,2016450701,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/16/2016 02:31:14 AM,9 AV / JEFFERSON ST,G,G1,8500.2011,-122.3241,47.60484,"(47.60484, -122.3241)",BURN - RECKLESS BURNING,RECKLESS BURNING,RECKLESS BURNING,NA
876840,12000270241,2012270241,282,"SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,08/15/2012 06:47:00 AM,75XX BLOCK OF 35TH AVE SW,W,W3,11500.6004,-122.376607574,47.535189741,"(47.535189741, -122.376607574)",NA,NA,NA,NA
902046,12000312494,2012312494,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,09/15/2012 03:46:00 PM,52XX BLOCK OF UNIVERSITY WAY NE,U,U3,4400.4000,-122.313034216,47.667491533,"(47.667491533, -122.313034216)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,09/15/2012 01:53:00 PM
448705,11000312697,2011312697,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,09/22/2011 01:10:00 PM,10 AV E / E MILLER ST,C,C1,6100.3005,-122.32006026,47.641352764,"(47.641352764, -122.32006026)",NA,NA,NA,NA
93086,10000359032,2010359032,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,10/14/2010 12:23:00 AM,93XX BLOCK OF LINDEN AVE N,N,N2,1800.3004,-122.347288747,47.69661778,"(47.69661778, -122.347288747)",NA,NA,NA,NA
587347,11000165240,2011165240,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",05/24/2011 12:52:00 PM,58XX BLOCK OF 15TH AVE S,O,O3,10400.4004,-122.313506339,47.550816364,"(47.550816364, -122.313506339)",NA,NA,NA,NA
464853,11000336361,2011336361,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,10/14/2011 06:12:00 AM,AURORA AV N / N 46 ST,J,J3,5000.4020,-122.347337437,47.662128776,"(47.662128776, -122.347337437)",NA,NA,NA,NA
1202101,11000052485,201152485,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,02/13/2011 04:21:00 PM,8518 1 / 2 14 AV NW,B,B1,1700.4005,-122.374001523,47.692435384,"(47.692435384, -122.374001523)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",02/13/2011 03:12:00 PM
1263904,11000020569,201120569,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,01/18/2011 01:54:00 PM,XX BLOCK OF S JACKSON ST,K,K3,9300.2005,-122.334813809,47.599205889,"(47.599205889, -122.334813809)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,01/18/2011 11:58:00 AM
2122240,17000395756,2017395756,161,TRESPASS,TRESPASS,TRESPASS,10/25/2017 04:33:48 AM,9XX BLOCK OF E PINE ST,E,E2,7500.4015,-122.320404,47.61524,"(47.61524, -122.320404)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,NA
2114896,17000382436,2017382436,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,10/14/2017 03:56:47 PM,63XX BLOCK OF 34 AV SW,F,F1,10702.3004,-122.37507,47.545635,"(47.545635, -122.37507)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,NA
2193104,14000360562,2014360562,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/28/2014 01:19:00 AM,3 AV / JAMES ST,K,K2,8100.2035,-122.331408458,47.602766541,"(47.602766541, -122.331408458)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/28/2014 01:19:00 AM
1794505,16000267332,2016267332,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,07/26/2016 06:39:19 AM,4 AV S / S JACKSON ST,K,K3,9300.2002,-122.32897,47.599197,"(47.599197, -122.32897)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,NA
1124745,15000205571,2015205571,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,06/18/2015 08:21:00 PM,9XX BLOCK OF 27 AV,C,C3,8800.1013,-122.297527448,47.610784528,"(47.610784528, -122.297527448)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,NA
1113211,15000189244,2015189244,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,06/07/2015 01:03:00 AM,MADISON ST / I5 NB,K,K1,8200.2005,-122.329850111,47.607366204,"(47.607366204, -122.329850111)",DUI - DRIVING UNDER INFLUENCE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,NA
2238372,15000001928,20151928,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/02/2015 10:20:00 PM,7XX BLOCK OF N 78 ST,J,J1,2800.2001,-122.348556111,47.685491127,"(47.685491127, -122.348556111)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,01/02/2015 09:25:00 PM
